40;;;;;;;;;;
0,0;9.1586;;;;;;;;;
1,0;9.1443;;;;;;;;;
2,0;9.1274;;;;;;;;;
3,0;9.1114;;;;;;;;;
4,0;9.0938;;;;;;;;;
5,0;9.0769;;;;;;;;;
6,0;9.0594;;;;;;;;;
6.999;9.0434;;;;;;;;;
8,0;9.0248;;;;;;;;;
8.999;9.0074;;;;;;;;;
10,0;2923980,000;;;;;;;;;
10.999;2858602,000;;;;;;;;;
12,0;2793589,000;;;;;;;;;
12.999;8.938;;;;;;;;;
13.999;2671598,000;;;;;;;;;
15,0;8.903;;;;;;;;;
16,0;8.887;;;;;;;;;
17,0;2482037,000;;;;;;;;;
18,0;2415563,000;;;;;;;;;
19,0;2352741,000;;;;;;;;;
20,0;2289189,000;;;;;;;;;
21,0;2223811,000;;;;;;;;;
22,0;2161354,000;;;;;;;;;
22.999;2097802,000;;;;;;;;;
23.999;2032789,000;;;;;;;;;
24.999;1971794,000;;;;;;;;;
26,0;1904588,000;;;;;;;;;
27,0;1842132,000;;;;;;;;;
28,0;1780406,000;;;;;;;;;
28.999;24320,000;;;;;;;;;
30,0;1654033,000;;;;;;;;;
31,0;1591941,000;;;;;;;;;
31.999;1528024,000;;;;;;;;;
33,0;1465567,000;;;;;;;;;
34,0;1403476,000;;;;;;;;;
35,0;1338463,000;;;;;;;;;
36,0;1280389,000;;;;;;;;;
37,0;1215011,000;;;;;;;;;
38,0;8.506;;;;;;;;;
39,0;18111,000;;;;;;;;;
40,0;1036042,000;;;;;;;;;
41,0;977238,000;;;;;;;;;
41.999;914051,000;;;;;;;;;
43,0;856708,000;;;;;;;;;
43.999;794252,000;;;;;;;;;
44.999;736543,000;;;;;;;;;
46,0;676278,000;;;;;;;;;
46.999;615648,000;;;;;;;;;
48,0;556844,000;;;;;;;;;
49,0;499501,000;;;;;;;;;
50,0;440331,000;;;;;;;;;
51,0;384084,000;;;;;;;;;
52,0;327472,000;;;;;;;;;
52.999;8.263;;;;;;;;;
54,0;209864,000;;;;;;;;;
54.999;151059,000;;;;;;;;;
56,0;8.214;;;;;;;;;
