t (s),V (mV)
332.08,10.6439
333.079,10.6366
334.079,10.6292
335.079,10.6216
336.079,10.6146
337.079,10.6074
338.079,10.6008
339.078,10.5932
340.078,10.5854
341.078,10.5782
342.079,10.5708
343.078,10.5631
344.078,10.5563
345.078,10.549
346.079,10.5417
347.079,10.5339
348.079,10.5269
349.078,10.5196
350.078,10.5118
351.079,10.5043
352.079,10.4972
353.078,10.4903
354.078,10.4822
355.079,10.475
356.079,10.4679
357.079,10.4601
358.078,10.4524
359.078,10.4447
360.078,10.4387
361.078,10.4305
362.078,10.424
363.079,10.4162
364.079,10.4091
365.078,10.4023
366.078,10.3938
367.078,10.3874
368.079,10.3798
369.079,10.3721
370.079,10.3653
371.079,10.3578
372.079,10.3501
373.079,10.3424
374.079,10.3349
375.078,10.3271
376.079,10.3207
377.078,10.3132
378.078,10.3059
379.079,10.2993
380.078,10.292
381.078,10.2845
382.078,10.2774
383.078,10.2708
384.078,10.2629
385.078,10.2558
386.078,10.2488
387.078,10.2414
388.078,10.2348
389.079,10.2268
390.078,10.2205
391.078,10.2131
392.079,10.2065
393.078,10.1985
394.078,10.1925
395.078,10.1848
396.078,10.177
397.078,10.1705
398.079,10.1633
399.078,10.156
400.078,10.1476
401.078,10.1418
402.079,10.1353
403.078,10.1275
404.078,10.1204
405.079,10.1146
406.078,10.1061
407.079,10.1001
408.078,10.0921
409.078,10.0848
410.079,10.0784
411.078,10.0718
412.078,10.064
413.078,10.0574
414.079,10.051
415.079,10.0445
416.079,10.0368
417.078,10.0311
418.078,10.0241
419.078,10.0174
420.079,10.0098
421.079,10.0026
422.08,9.9961
423.079,9.9895
424.079,9.9819
425.08,9.9745
426.08,9.9672
427.08,9.9595
428.08,9.9523
429.08,9.9459
430.079,9.9383
431.08,9.9315
432.079,9.9247
433.08,9.9178
434.079,9.9114
435.08,9.9042
436.079,9.8971
437.08,9.8894
438.079,9.8821
439.079,9.8757
440.079,9.8683
441.08,9.8621
442.079,9.8553
443.08,9.8493
444.08,9.8423
445.079,9.8357
446.08,9.8298
447.079,9.8231
448.08,9.817
449.08,9.8103
450.079,9.8037
451.079,9.7963
452.079,9.7907
453.079,9.7841
454.079,9.7776
455.08,9.7714
456.079,9.7648
457.08,9.7584
458.08,9.7524
459.079,9.7456
460.08,9.739
461.079,9.7317
462.08,9.7245
463.08,9.7175
464.079,9.7109
465.079,9.7045
466.08,9.6967
467.079,9.6907
468.079,9.6834
469.079,9.6762
470.08,9.6694
471.079,9.6636
472.08,9.6557
473.08,9.6496
474.079,9.6423
475.08,9.6353
476.079,9.6294
477.079,9.6224
478.08,9.6156
479.079,9.6088
480.08,9.6032
481.079,9.5962
482.079,9.5899
483.08,9.5831
484.079,9.577
485.08,9.5714
486.079,9.5639
487.08,9.5588
488.079,9.5518
489.079,9.5448
490.08,9.5397
491.079,9.5318
492.08,9.5261
493.079,9.5203
494.08,9.5139
495.08,9.5075
496.079,9.501
497.08,9.4951
498.079,9.4879
499.08,9.4822
500.079,9.476
501.079,9.4695
502.08,9.4635
503.08,9.4582
504.079,9.4512
505.079,9.4451
506.079,9.4385
507.08,9.4331
508.08,9.4265
509.08,9.4199
510.08,9.4132
511.08,9.4076
512.079,9.4006
513.079,9.3947
514.08,9.3876
515.08,9.3818
516.079,9.3748
517.079,9.3686
518.08,9.3619
519.08,9.3556
520.079,9.3486
521.079,9.343
522.079,9.3365
523.08,9.3297
524.08,9.3235
525.079,9.3183
526.079,9.3118
527.08,9.3056
528.08,9.2985
529.08,9.293
530.08,9.2867
531.08,9.2816
532.08,9.2749
533.079,9.2683
534.079,9.2626
535.08,9.2557
536.08,9.2495
537.079,9.2435
538.079,9.2377
539.08,9.2321
540.08,9.2255
541.08,9.2202
542.08,9.2144
543.079,9.208
544.079,9.2021
545.08,9.1953
546.08,9.1904
547.079,9.183
548.079,9.1771
549.08,9.1709
550.08,9.1645
551.079,9.1584
552.079,9.1519
553.08,9.145
554.08,9.1388
555.08,9.1323
556.079,9.1261
557.079,9.1204
558.08,9.114
559.08,9.1083
560.079,9.1022
561.079,9.0958
562.079,9.0898
563.079,9.0843
564.08,9.0775
565.08,9.0718
566.079,9.0661
567.079,9.0608
568.08,9.0532
569.08,9.0479
570.079,9.042
571.079,9.0356
572.079,9.0304
573.079,9.0242
574.079,9.0185
575.08,9.0136
576.08,9.0062
577.079,9.0023
