t (s),V (mV)
0,13.706
1.051,13.694
2.079,13.6767
3.08,13.6625
4.079,13.6485
5.079,13.6363
6.08,13.6227
7.079,13.6102
8.08,13.5975
9.079,13.5857
10.079,13.573
11.079,13.5604
12.079,13.5493
13.08,13.5377
14.08,13.5261
15.079,13.5148
16.08,13.5053
17.079,13.4937
18.079,13.4825
19.079,13.471
20.079,13.46
21.079,13.4501
22.08,13.4396
23.079,13.4266
24.08,13.4171
25.079,13.405
26.08,13.395
27.08,13.3839
28.079,13.372
29.079,13.3617
30.08,13.3517
31.08,13.3399
32.079,13.3285
33.08,13.3179
34.079,13.3072
35.08,13.2967
36.079,13.2861
37.08,13.2754
38.079,13.2649
39.079,13.2532
40.079,13.2439
41.079,13.2327
42.079,13.222
43.08,13.2105
44.079,13.2003
45.079,13.1898
46.079,13.1785
47.079,13.1672
48.079,13.1569
49.079,13.1462
50.08,13.1358
51.08,13.1261
52.079,13.1146
53.079,13.1036
54.08,13.0945
55.079,13.0839
56.079,13.0733
57.079,13.0633
58.079,13.0532
59.079,13.0426
60.08,13.0318
61.079,13.0219
62.08,13.0113
63.08,13.0012
64.08,12.9901
65.079,12.981
66.08,12.9697
67.079,12.9583
68.079,12.9489
69.08,12.9386
70.079,12.9275
71.079,12.9174
72.079,12.9065
73.079,12.8972
74.08,12.8874
75.079,12.8767
76.079,12.8665
77.08,12.8567
78.08,12.8463
79.08,12.8363
80.08,12.8263
81.079,12.8158
82.08,12.8058
83.08,12.796
84.079,12.7853
85.079,12.7755
86.079,12.7655
87.08,12.7568
88.079,12.7467
89.079,12.7373
90.079,12.7266
91.08,12.717
92.08,12.7071
93.079,12.6971
94.08,12.6874
95.079,12.6782
96.079,12.6685
97.079,12.6591
98.08,12.6493
99.08,12.6392
100.079,12.6305
101.08,12.6205
102.079,12.6114
103.08,12.6009
104.079,12.5918
105.079,12.5816
106.079,12.5728
107.08,12.5623
108.08,12.5536
109.079,12.5432
110.079,12.5334
111.08,12.523
112.079,12.5132
113.079,12.5042
114.08,12.4947
115.079,12.4839
116.079,12.4739
117.079,12.4638
118.08,12.4538
119.08,12.445
120.079,12.4348
121.079,12.4259
122.079,12.416
123.08,12.4069
124.079,12.3963
125.079,12.3869
126.079,12.3773
127.08,12.368
128.079,12.3588
129.079,12.3496
130.08,12.3392
131.079,12.33
132.079,12.3207
133.079,12.3108
134.079,12.3025
135.08,12.2923
136.079,12.2831
137.079,12.273
138.079,12.2643
139.079,12.254
140.079,12.2449
141.08,12.2365
142.079,12.2258
143.08,12.2164
144.079,12.2076
145.08,12.1979
146.079,12.1895
147.08,12.1804
148.08,12.1709
149.079,12.1628
150.079,12.1533
151.079,12.1443
152.08,12.1356
153.079,12.1264
154.079,12.1168
155.08,12.108
156.08,12.0996
157.08,12.0894
158.079,12.0813
159.079,12.0717
160.079,12.0636
161.08,12.0538
162.08,12.0453
163.079,12.0369
164.079,12.0281
165.08,12.0187
166.079,12.0103
167.079,12.0019
168.079,11.9946
169.079,11.9842
170.079,11.9751
171.079,11.9668
172.08,11.9576
173.08,11.9496
174.079,11.94
175.079,11.931
176.079,11.9215
177.079,11.9117
178.079,11.9035
179.079,11.8952
180.079,11.885
181.079,11.8763
182.08,11.8679
183.08,11.8584
184.079,11.8494
185.079,11.8403
186.079,11.831
187.079,11.8219
188.08,11.813
189.079,11.8043
190.08,11.7958
191.08,11.7865
192.079,11.7778
193.079,11.7684
194.079,11.7603
195.079,11.7518
196.079,11.7418
197.079,11.7332
198.079,11.725
199.08,11.7166
200.08,11.7069
201.079,11.6979
202.08,11.6901
203.079,11.6802
204.079,11.6717
205.079,11.6625
206.079,11.6544
207.079,11.6459
208.08,11.6372
209.079,11.629
210.079,11.621
211.079,11.612
212.079,11.6039
213.079,11.5951
214.08,11.587
215.08,11.578
216.079,11.5698
217.079,11.5617
218.08,11.5529
219.079,11.5447
220.079,11.5362
221.079,11.527
222.079,11.5184
223.08,11.51
224.08,11.5019
225.079,11.4936
226.08,11.4858
227.079,11.4769
228.079,11.4682
229.079,11.4605
230.079,11.452
231.08,11.4435
232.079,11.4353
233.079,11.4272
234.08,11.4186
235.079,11.411
236.079,11.4031
237.079,11.3937
238.08,11.3858
239.079,11.377
240.08,11.3687
241.08,11.3605
242.079,11.3529
243.08,11.3442
244.08,11.3359
245.079,11.3287
246.079,11.3199
247.079,11.311
248.08,11.3034
249.079,11.2962
250.079,11.288
251.079,11.28
252.08,11.272
253.08,11.2634
254.079,11.2559
255.08,11.2481
256.08,11.2398
257.079,11.2326
258.079,11.2244
259.079,11.2162
260.079,11.2084
261.079,11.2007
262.08,11.1925
263.079,11.1849
264.08,11.1766
265.079,11.1684
266.079,11.1599
267.08,11.1526
268.079,11.1446
269.08,11.1368
270.08,11.1279
271.079,11.1205
272.079,11.1119
273.079,11.1039
274.079,11.0964
275.08,11.0879
276.08,11.0796
277.079,11.0713
278.08,11.064
279.079,11.056
280.079,11.0474
281.079,11.0393
282.079,11.0315
283.08,11.0242
284.079,11.0149
285.08,11.0073
286.079,10.9988
287.079,10.9909
288.08,10.9828
289.08,10.975
290.08,10.9665
291.079,10.9581
292.079,10.9497
293.08,10.9419
294.08,10.9344
295.079,10.9261
296.079,10.9181
297.08,10.9112
298.08,10.9024
299.079,10.8952
300.079,10.8869
301.079,10.8796
302.079,10.8724
303.079,10.8645
304.079,10.8566
305.079,10.8483
306.08,10.8412
307.08,10.8342
308.08,10.8258
309.079,10.8177
310.079,10.8112
311.079,10.8038
312.08,10.7956
313.079,10.7885
314.079,10.7808
315.079,10.7738
316.08,10.7652
317.08,10.7574
318.08,10.7492
319.08,10.7423
320.08,10.735
321.08,10.728
322.08,10.7195
323.079,10.7115
324.079,10.7042
325.079,10.6968
326.08,10.6891
327.08,10.6813
328.079,10.6733
329.08,10.6666
330.08,10.6591
331.08,10.6514
