t (s),V (mV)
0,14.203
0.973,14.1909
1.916,14.177
2.915,14.1657
3.915,14.1508
4.915,14.1376
5.915,14.1236
6.916,14.1081
7.916,14.0984
8.915,14.0834
9.915,14.0687
10.916,14.0547
11.916,14.0411
12.916,14.0268
13.916,14.0138
14.915,13.9983
15.916,13.984
16.915,13.9698
17.915,13.955
18.916,13.9408
19.915,13.9261
20.916,13.9129
21.915,13.8984
22.915,13.8838
23.915,13.8694
24.915,13.8552
25.916,13.8404
26.915,13.8263
27.915,13.8113
28.915,13.7972
29.916,13.7824
30.915,13.7676
31.916,13.7528
32.915,13.7379
33.916,13.7242
34.915,13.7104
35.916,13.6959
36.915,13.6818
37.915,13.6678
38.915,13.6535
39.915,13.6393
40.915,13.6252
41.916,13.6105
42.916,13.5967
43.915,13.5823
44.916,13.5679
45.915,13.5542
46.915,13.5395
47.916,13.5239
48.915,13.5103
49.915,13.4955
50.915,13.4817
51.915,13.4683
52.916,13.4537
53.915,13.4402
54.915,13.4261
55.916,13.4114
56.916,13.3976
57.916,13.3844
58.915,13.3711
59.915,13.3575
60.916,13.3442
61.916,13.3303
62.915,13.317
63.915,13.3028
64.916,13.2894
65.915,13.2758
66.916,13.2619
67.915,13.2483
68.916,13.2345
69.915,13.2208
70.916,13.2066
71.916,13.1938
72.916,13.1802
73.915,13.1665
74.915,13.1524
75.915,13.1376
76.916,13.1237
77.915,13.1099
78.915,13.0957
79.916,13.0822
80.916,13.0687
81.915,13.0548
82.915,13.0403
83.915,13.0282
84.916,13.0149
85.916,13.001
86.916,12.9878
87.915,12.9738
88.915,12.9605
89.916,12.9462
90.916,12.9324
91.915,12.9183
92.916,12.9036
93.916,12.891
94.915,12.8777
95.915,12.8641
96.916,12.8509
97.915,12.8385
98.915,12.825
99.915,12.8123
100.916,12.7988
101.916,12.7861
102.915,12.7741
103.915,12.7609
104.916,12.7478
105.915,12.7341
106.915,12.7218
107.915,12.7087
108.915,12.6966
109.916,12.682
110.915,12.6701
111.916,12.6568
112.915,12.6452
113.915,12.6329
114.915,12.62
115.916,12.6066
116.915,12.5946
