t (s),V (mV)
117.916,12.5811
118.915,12.5676
119.915,12.5557
120.916,12.5424
121.915,12.5282
122.916,12.5164
123.915,12.5019
124.916,12.4896
125.916,12.4768
126.916,12.4634
127.915,12.4504
128.915,12.4377
129.915,12.4252
130.915,12.4119
131.915,12.3986
132.916,12.386
133.916,12.3736
134.915,12.3606
135.916,12.348
136.915,12.3347
137.916,12.3222
138.915,12.3106
139.916,12.2971
140.915,12.2848
141.915,12.2728
142.916,12.2605
143.915,12.2491
144.915,12.2372
145.915,12.2241
146.916,12.2118
147.915,12.1995
148.916,12.187
149.916,12.1749
150.915,12.1628
151.915,12.1509
152.915,12.1382
153.915,12.1262
154.915,12.1142
155.916,12.1003
156.915,12.0895
157.916,12.0775
158.915,12.0658
159.916,12.0534
160.915,12.0415
161.915,12.0297
162.916,12.0178
163.915,12.0052
164.916,11.9938
165.915,11.9804
166.916,11.9682
167.915,11.9568
168.916,11.9444
169.915,11.9322
170.916,11.9206
171.915,11.9079
172.916,11.8958
173.915,11.883
174.916,11.872
175.916,11.86
176.916,11.8482
177.915,11.836
178.915,11.8242
179.915,11.8125
180.915,11.8001
181.915,11.7873
182.916,11.7765
183.916,11.7636
184.915,11.7518
185.915,11.7404
186.915,11.7291
187.916,11.717
188.915,11.7054
189.915,11.694
190.916,11.6821
191.916,11.6699
192.915,11.659
193.916,11.6474
194.916,11.6354
195.915,11.6237
196.915,11.6125
197.915,11.6062
198.916,11.5122
199.916,11.6119
200.915,11.5667
201.916,11.5557
202.915,11.544
203.915,11.532
204.916,11.5213
205.915,11.51
206.915,11.4986
207.915,11.4871
208.916,11.4764
209.916,11.4646
210.915,11.4529
211.915,11.4417
212.915,11.4312
213.915,11.4198
214.916,11.4086
215.915,11.3981
216.916,11.3859
217.915,11.3755
218.916,11.3637
219.915,11.3526
220.915,11.3415
221.916,11.3304
222.915,11.3187
223.915,11.3073
224.915,11.2959
225.915,11.2849
226.915,11.2738
227.916,11.2622
228.915,11.2512
229.916,11.24
230.915,11.2288
231.915,11.2169
232.916,11.2059
233.915,11.1948
234.916,11.1836
235.915,11.1714
236.916,11.1601
237.915,11.1496
238.916,11.1382
239.915,11.1267
240.916,11.1156
241.915,11.1031
242.916,11.093
243.915,11.0821
244.915,11.0698
245.916,11.0597
246.916,11.0485
247.915,11.0374
248.915,11.0252
249.915,11.0147
250.915,11.0039
251.916,10.993
252.916,10.9823
253.915,10.9717
254.915,10.9616
255.915,10.9499
256.916,10.9394
257.916,10.9278
258.915,10.9174
259.915,10.9067
260.916,10.8957
261.915,10.8851
262.915,10.8744
263.915,10.8641
264.915,10.853
265.916,10.842
266.915,10.8317
267.915,10.8208
268.915,10.8103
269.916,10.7991
270.915,10.7887
271.915,10.7786
272.915,10.7681
273.916,10.7572
274.916,10.7461
275.916,10.7361
276.916,10.7255
277.916,10.7142
278.915,10.7051
279.915,10.694
280.915,10.6838
281.915,10.6739
282.915,10.6637
283.916,10.6523
284.916,10.6424
285.915,10.6322
286.915,10.6225
287.914,10.6119
288.915,10.6022
289.915,10.592
290.914,10.5812
291.914,10.5712
292.914,10.5612
293.914,10.5509
294.915,10.5401
295.915,10.5306
296.914,10.5197
297.914,10.5093
298.915,10.4993
299.915,10.4885
300.914,10.4784
301.915,10.4682
302.915,10.4578
303.915,10.4473
304.914,10.4378
305.914,10.4279
306.915,10.4178
307.914,10.4076
308.914,10.3982
309.915,10.3872
310.914,10.3787
311.915,10.3683
312.914,10.3581
313.914,10.348
314.915,10.3387
315.914,10.3289
316.914,10.3189
317.915,10.3084
318.914,10.2993
319.915,10.2888
320.914,10.2805
321.915,10.2691
322.914,10.2606
323.915,10.2494
324.914,10.2401
325.914,10.2302
326.915,10.22
327.914,10.2115
328.914,10.2006
329.914,10.1905
330.914,10.1804
331.914,10.1702
332.914,10.16
333.914,10.151
334.915,10.1409
335.915,10.1302
336.914,10.1226
337.914,10.1118
338.915,10.1026
339.914,10.0922
340.914,10.0821
341.914,10.0722
342.915,10.0629
343.914,10.0524
344.914,10.0431
345.914,10.0334
346.915,10.0242
347.914,10.0139
348.914,10.0042
349.916,9.9948
350.915,9.9859
351.916,9.9752
352.916,9.9655
353.916,9.9565
354.916,9.9468
355.916,9.9369
356.916,9.9278
357.916,9.9188
358.916,9.9087
359.916,9.8997
360.915,9.8914
361.915,9.8812
362.916,9.8722
363.916,9.8623
364.916,9.8537
365.915,9.844
366.915,9.8347
367.915,9.8262
368.915,9.8164
369.916,9.8063
370.915,9.7975
371.915,9.7874
372.915,9.7786
373.915,9.769
374.915,9.7596
375.915,9.7491
376.916,9.7405
377.915,9.7305
378.916,9.7211
379.915,9.7116
380.916,9.702
381.915,9.6924
382.916,9.6837
383.915,9.673
384.915,9.6633
385.916,9.6534
386.915,9.6445
387.916,9.6352
388.915,9.6255
389.916,9.6159
390.915,9.6058
391.916,9.5972
392.916,9.5872
393.915,9.5783
394.916,9.5688
395.915,9.5579
396.916,9.5495
397.915,9.5403
398.916,9.531
399.915,9.5213
400.916,9.512
401.916,9.503
402.915,9.4941
403.916,9.4851
404.916,9.4771
405.915,9.4681
406.916,9.4595
407.915,9.4499
408.916,9.4408
409.916,9.4318
410.915,9.4229
411.915,9.4139
412.916,9.4055
413.915,9.3964
414.915,9.388
415.916,9.3787
416.915,9.3704
417.916,9.3611
418.915,9.352
419.915,9.3443
420.916,9.3344
421.916,9.3259
422.915,9.3173
423.915,9.3082
424.916,9.2997
425.915,9.2913
426.916,9.2821
427.916,9.2727
428.915,9.2637
429.916,9.2549
430.915,9.2482
431.915,9.2374
432.916,9.2276
433.915,9.2181
434.915,9.2087
435.916,9.2002
436.915,9.1904
437.915,9.1818
438.916,9.173
439.915,9.1635
440.915,9.1544
441.916,9.1456
442.916,9.1363
443.915,9.1268
444.916,9.1189
445.916,9.1113
446.915,9.1018
447.915,9.0926
448.916,9.0844
449.916,9.0751
450.915,9.0664
451.916,9.058
452.915,9.05
453.916,9.0406
454.916,9.0327
455.915,9.025
456.916,9.0159
457.916,9.0081
458.915,8.9996
459.916,8.9917
460.916,8.983
461.915,8.9743
462.915,8.9663
463.916,8.958
464.916,8.9493
465.915,8.9411
466.915,8.9331
467.915,8.9243
